,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
0,6.6g,121kcal,10g,9.5g,2.1g,1.2g,0.06g,The Coconut Collaborative Vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.6g,118kcal,4.9g,3.3g,11.8g,4.8g,0.13g,The Collective Dairy Super Berries Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.1g,99kcal,4.0g,2.8g,11.1g,4.7g,0.18g,Yeo Valley Raspberry Yogurt,167mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.4g,105kcal,3.9g,2.5g,11.9g,4.3g,0.17g,"Müller Corner Strawberry, Peach & Apricot Yogurts",132mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.1g,76kcal,2.8g,1.9g,7.6g,3.7g,0.09g,The Collective Dairy For Kids Apple & Blackcurrant Suckies,126mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14.1g,81kcal,0g,0g,14.0g,5.8g,0.17g,Yeo Valley 0% Fat Vanilla Yogurt,179mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.4g,72kcal,1.9g,0.6g,8.5g,3.8g,0.20g,Benecol Raspberry & Peach Yog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.1g,51kcal,<0.5g,0.1g,6.4g,4.9g,0.23g,"Müller Light Strawberry, Cherry, Raspberry&Cranberry",135mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18.0g,136kcal,4.8g,3.0g,15.2g,4.5g,0.22mg,Müller Corner Vanilla Choc Balls/ Banana Choc Flakes,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13g,96kcal,2.7g,1.7g,13g,3.8g,0.19g,Onken Mango Papaya Passionfruit Yogurt,125mg,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15.6g,115kcal,4.0g,2.5g,14.2g,4.1g,0.12g,Yeo Valley Lemon Curd Yogurt,170mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10.9g,98kcal,4.0g,2.7g,10.9g,4.6g,0.17g,Yeo Valley Blueberry Yogurt,167mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10.9g,98kcal,4.0g,2.8g,10.7g,4.5g,0.16g,Yeo Valley Strawberry Yogurt,167mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11.7g,100kcal,4.0g,2.7g,11.6g,4.4g,0.15g,Yeo Valley Peach & Apricot Yogurt,160mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13.8g,110kcal,3.9g,2.5g,13.1g,4.3g,0.17g,Müller Corner Red Cherry Yogurt,124mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16g,119kcal,5.4g,4.4g,4.3g,1.4g,0.20g,The Collective Plant Passion Fruit Yoghurt Alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11.6g,81kcal,2.0g,1.3g,9.7g,4.0g,0.11g,Yeo Valley Mango & Passionfruit Kefir Yogurt,164mg/20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12.5,138kcal,8.5,5.5,12.1,2.7,0.14,Oykos Blueberry Yogurts,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.6g,49kcal,<0.5g,0.1g,5.7g,4.8g,0.27g,Müller Light Smooth Toffee Fat Free Yogurt,150mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18.1g,138kcal,5.0g,3.1g,16.0g,4.4g,0.17g,Müller Corner Vanilla Yogurt with Chocolate Balls,110mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11.1g,79kcal,1.9g,1.3g,9.5g,4.2g,0.11g,Yeo Valley Kefir Yogurt Strawberry,161mg/20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13g,75kcal,0g,0g,12g,4.5g,0.2g,Onken 0% Fat Yogurt Strawberry,148mg,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12.0g,91kcal,2.7g,1.8g,10.8g,3.7g,0.15g,Yoplait Frubes Strawberry Yogurt,162mg,,3.4µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11.0g,98kcal,4.0g,2.5g,11.0g,4.5g,0.13g,Yeo Valley Black Cherry Yogurt,132mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.1g,99kcal,4.7g,3.3g,7.5g,5.0g,0.12g,The Collective Kefir Vanilla Cultured Yoghurt,169mg,,,0.20µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,23.4g,137kcal,2.2g,0.6g,11.4g,4.5g,0.1g,MOMA Bircher Muesli Wild Berry Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12.4g,105kcal,3.9g,2.5g,11.9g,4.3g,0.17g,Müller Corner Strawberry Yogurt,132mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14g,100kcal,2.7g,1.7g,13g,3.8g,0.22g,Onken Cherry Yogurt,125mg,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15g,118kcal,5.4g,4.4g,4.1g,1.4g,0.20g,The Collective Plant Raspberry Yoghurt Alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5.4g,85kcal,3.4g,2.2g,4.9g,8.0g,0.12g,Petits Filous No Added Sugar Strawberry & Banana,128mg,,0.80µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12.8g,103kcal,4.0g,2.6g,12.4g,3.5g,0.12g,The Collective Dairy For Kids Chocolate Puds,114mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.8g,96kcal,3.7g,2.3g,10.7g,4.8g,0.13g,Yeo Valley Limited Edition Yogurt,156mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10.7g,97kcal,3.9g,2.6g,10.6g,4.6g,0.15g,Yeo Valley Mango & Vanilla Yogurt,153mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,19.4g,150kcal,5.8g,4.0g,15.6g,4.5g,0.23g,Müller Corner Milk Chocolate Digestives Yogurt,112mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12.51g,97kcal,3.8g,2.31g,11.74g,3.16g,0.1g,Bonne Maman Rhubarb & Strawberry Yoghurt,,0.47g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.9g,63kcal,0.8g,0.5g,9.9g,3.0g,0.12g,Yoplait Petits Filous Yogurt Strawberry Sport Cap,120mg,,0.75µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7.0g,92kcal,3.9g,2.8g,6.3g,7.2g,0.10g,FAGE Junior Strawberry Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,24.0g,139kcal,2.2g,0.5g,12.0g,0.1g,,MOMA Bircher Muesli Strawberry & Banana,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0g,52kcal,<0.5g,0.1g,6.2g,4.9g,0.23g,Müller Light Strawberry Fat Free Yogurt,135mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7.2g,105kcal,5.8g,3.7g,6.8g,6.0g,0.18g,The Collective Dairy Straight Up Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.9g,235kcal,23g,20g,3.3g,1.9g,0.28g,Co Yo Natural Coconut Milk Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
