,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
0,10.1g,84kcal,2.8g,1.1g,1.3g,1.7g,4.1g,0.10g,0.04g,HiPP 1-3 years Squiggly Spaghetti,,,,,,,,,,,,,,,,,,,,,,,,
1,28.2g,143kcal,1.9g,0.7g,0.5g,<0.1g,2.9g,<0.03g,,Tilda Pure Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
2,23.3g,129kcal,2.1g,3.0g,0.5g,0.2g,2.8g,<0.03g,,Tilda Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
3,24.8g,128kcal,1.8g,0.9g,0.3g,0.3g,2.8g,0.41g,,Tilda Pilau Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
4,79.0g,351kcal,0.9g,0.5g,0.1g,,6.8g,,0.02g,Waitrose Arborio Risotto Rice,,,,,,,,,,,,,,,,,,,,,,,,
5,33.7g,154kcal,0.5g,,0.0g,0.2g,3.2g,0.00g,,Uncle Ben's boil in bag long grain rice,,,,,,,,,,,,,,,,,,,,,,,,
6,35.3g,175kcal,2.3g,<0.5g,0.5g,<0.1g,3.2g,<0.03g,,Tilda Fragrant Jasmine Rice,,,,,,,,,,,,,,,,,,,,,,,,
7,25.3g,117kcal,0.3g,1.0g,0.1g,,2.7g,,,Essential Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
8,22.6g,136kcal,3.1g,3.0g,0.5g,0.4g,2.9g,0.28g,,Tilda Wholegrain Basmati Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,
9,34g,157kcal,0.5g,0.8g,<0.1g,<0.5g,3.3g,<0.01g,,Uncle Ben's long grain rice,,,,,,,,,,,,,,,,,,,,,,,,
10,28.5g,139kcal,1.2g,0.9g,0.2g,<0.5g,3.0g,0.18g,,Waitrose Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
